url,count,average,90th percentile,80th percentile
/api/1/usernotification/GetNotification/,212540,46.565390044226966,40,40
/api/1/users/currentuser/,9341,99.86361203297291,109,109
/api/1/misc/GetData/,30458,284.96450850351306,380,380
/api/1/vmstype/,766,55.4490861618799,92,92
/api/1/misc/poi_search/,996,98.96084337349397,355,355
/api/1/eventseverity/,926,43.30129589632829,59,59
/api/1/module-based-filter/,780,78.57051282051282,102,102
/api/1/userjurisdictions/get_user_jurisdictions_geojson/,1363,38.50917094644167,49,49
/api/1/maplayer/,531,52.10357815442561,70,70
/incident-management/api/1/eventcause/,80,258.0875,258,258
/api/1/misc/GetUserActions/,959,173.47966631908238,303,303
/api/1/vehicleagency/,229,43.17467248908297,57,57
/api/1/waffle/get_flag/,2776,76.19272334293949,93,93
/api/1/misc/constants/,5100,124.76882352941176,183,183
/api/1/users/currentuser_display_group/,1916,33.618997912317326,44,44
/api/1/event/5102/,14,304.5,596,596
/api/1/injurytype/,67,40.55223880597015,48,48
/api/1/users/userpermissions/,4138,194.6790720154664,245,245
/api/1/eventcause/,366,113.43715846994536,293,293
/api/1/eventtype/,1641,51.123095673369896,72,72
/api/1/usernotification/,113,6140.203539823009,1698,1698
/api/1/eventimpact/,144,40.74305555555556,54,54
/api/1/event/,2255,404.1161862527716,342,342
/api/1/eventcause/21/,2,55.5,59,59
/api/1/commentcategory/,32,42.21875,51,51
/api/1/intercomdevice/1239/,7,58.857142857142854,81,81
/api/1/route/,26,129.1153846153846,150,150
/api/1/vmsmessages/,201,1467.955223880597,4094,4094
/api/1/vmsdevice/,188,348.9468085106383,1111,1111
/api/1/paannouncement/,164,166.90853658536585,403,403
/api/1/trafficpolicestation/,204,261.6421568627451,441,441
/api/1/traffixcase/,74,640.6486486486486,1277,1277
/api/1/traveltimeroute/,69,31.347826086956523,43,43
/api/1/vmsdevice,2,28.0,33,33
/api/1/traveltimesource/,62,40.306451612903224,76,76
/api/1/intercommessage/,126,39.785714285714285,58,58
/api/1/zone/,178,44.938202247191015,46,46
/api/1/lawandorderpolicestation/,137,1101.9197080291972,1678,1678
/api/1/tsp/hurryCallOn,186,29.892473118279568,41,41
/api/1/traveltimedestination/,90,33.6,44,44
/api/1/vmsfonts/,40,51.1,76,76
/api/1/vmsmessagelibrary/,163,37.73006134969325,47,47
/api/1/cctvcameras/,52,147.8653846153846,197,197
/api/1/tsp/hurryCallOff,256,29.0390625,32,32
/api/1/tsp/hurryCallOn/,183,29.349726775956285,34,34
/api/1/eventimpact/55/,3,36.666666666666664,46,46
/api/1/misc/FindNearestLocations/,226,917.3982300884956,2678,2678
/api/1/commentcategory/25/,1,38.0,38,38
/api/1/users/,127,443.6377952755906,1047,1047
/api/1/road_closure/GetLinksInBox/,539,234.4378478664193,250,250
/api/1/devicemanufacturer/,259,35.53281853281853,45,45
/api/1/junctionarm/,14,553.2857142857143,1037,1037
/api/1/atcc/,63,179.79365079365078,361,361
/api/1/htrims/,15,265.6,496,496
/api/1/avlvehicle/,91,87.0,140,140
/api/1/anprcameras/,46,117.17391304347827,178,178
/api/1/fld/,29,118.79310344827586,244,244
/api/1/junction/,43,6003.976744186047,19665,19665
/api/1/entitygroup/,96,40.458333333333336,51,51
/api/1/intercomdevice/,163,49.0920245398773,87,87
/api/1/rootcause/,1066,32.64165103189494,45,45
