url,count,average,90th percentile,80th percentile
/api/1/usernotification/GetNotification/,46072,35.737584650112865,36,36
/api/1/misc/GetData/,5538,295.1749729144095,322,322
/api/1/waffle/get_flag/,818,70.22127139364304,90,90
/api/1/users/currentuser/,2733,88.82875960482986,106,106
/api/1/users/userpermissions/,1302,152.926267281106,238,238
/api/1/misc/constants/,1460,120.14109589041095,178,178
/api/1/users/currentuser_display_group/,626,31.570287539936103,42,42
/api/1/rootcause/,684,31.09795321637427,40,40
/api/1/rootcause/117/,12,27.75,36,36
/api/1/grievances/,17,183.2941176470588,280,280
/api/1/categories/,19,38.0,43,43
/api/1/casefile/,13,35.0,43,43
/api/1/traffixcase/,14,1031.7142857142858,1136,1136
/api/1/casetype/,11,36.18181818181818,40,40
/api/1/groups/2/,6,45.333333333333336,48,48
/api/1/groups/4/,6,39.5,44,44
/api/1/groups/10/,6,37.666666666666664,37,37
/api/1/eventseverity/,164,40.646341463414636,59,59
/api/1/groups/6/,6,42.0,45,45
/api/1/groups/9/,6,39.833333333333336,44,44
/api/1/tableau-dashboard-backend/GetTableauParams/,27,130.7037037037037,199,199
/api/1/event/,14,290.07142857142856,537,537
/api/1/stakeholder/,14,37.142857142857146,40,40
/api/1/zone/,16,36.875,40,40
/api/1/caserootcause/,7,41.285714285714285,46,46
/api/1/lawandorderpolicestation/,16,1325.4375,1414,1414
/api/1/vmstype/,138,45.15217391304348,73,73
/api/1/misc/poi_search/,77,63.02597402597402,64,64
/api/1/maplayer/,135,48.60740740740741,68,68
/api/1/eventtype/,299,45.83946488294314,67,67
/api/1/kpiconfig/,14,34.714285714285715,36,36
/api/1/users/,18,231.88888888888889,267,267
/api/1/trafficpolicestation/,17,379.7647058823529,390,390
/api/1/traffixtask/,10,496.9,963,963
/api/1/module-based-filter/,141,72.97872340425532,98,98
/api/1/misc/GetUserActions/,223,297.15695067264573,291,291
/api/1/userjurisdictions/get_user_jurisdictions_geojson/,183,55.84153005464481,51,51
/api/1/module/,16,46.1875,53,53
/api/1/rootcause/116/,8,29.5,38,38
/api/1/groups/11/,6,38.166666666666664,38,38
/api/1/groups/8/,6,37.5,39,39
/api/1/eventcause/,48,190.0625,616,616
/api/1/sub-categories/,23,60.17391304347826,78,78
/api/1/vmsdevice/publish_message/,14,495.5,1962,1962
/api/1/groups/5/,6,44.833333333333336,49,49
/api/1/groups/1/,6,48.0,55,55
/api/1/groups/7/,6,40.166666666666664,45,45
/api/1/traffixcase/59/,1,140.0,140,140
/api/1/sub-categories,1,24.0,24,24
/api/1/users/6/,5,116.4,124,124
/api/1/cityinfo/,3,47.333333333333336,62,62
/api/1/weather/GetWeather/,22,446.95454545454544,492,492
/api/1/event/1/,1,592.0,592,592
/api/1/vmsmessages/,32,415.9375,448,448
/api/1/vmsdevice/12/is_editable/,1,32.0,32,32
/api/1/pollution/156/GetPollutionImage/,41,316.1951219512195,742,742
/api/1/api-token-auth/,3,92.66666666666667,140,140
/api/1/rootcause/115/,16,29.9375,38,38
/api/1/reports/thematic_crime/,3,34.666666666666664,47,47
/api/1/misc/FindNearestLocations/,30,2008.5,2690,2690
/api/1/misc/get_point_info/,23,506.5652173913044,655,655
/api/1/techevent/,4,310.75,467,467
/api/1/detectedavl/active_vip_vehicle_locations/,28,111.10714285714286,117,117
/api/1/streetmanagement-backend/GetFileName/,3,387.0,1095,1095
/api/1/event/5241/,5,495.8,600,600
/api/1/event/5241/is_editable/,4,45.0,76,76
/api/1/responseplan/response_rule/,22,29419.227272727272,34202,34202
/api/1/traffixcase/94/,1,144.0,144,144
/api/1/vmsdevice/85/,7,99.57142857142857,190,190
/api/1/vmsmessages/8159/image/,26,59.65384615384615,79,79
/api/1/vmsmessages/8134/image/,28,59.285714285714285,82,82
/api/1/vmsmessages/8129/image/,26,58.73076923076923,95,95
/api/1/groups/3/,6,41.166666666666664,40,40
/api/1/usernotification/GetNotification,1,25.0,25,25
/api/1/vehicleagency/,15,49.333333333333336,80,80
/api/1/associatedentity/,7,133.28571428571428,330,330
/api/1/event/5102/,3,235.33333333333334,483,483
/api/1/event/4790/is_editable/,2,44.0,54,54
/api/1/vehicletype/,13,98.46153846153847,191,191
/api/1/vehicleinvolved/,1,66.0,66,66
/api/1/vehiclemodel/,1,1303.0,1303,1303
/api/1/vmsdevice/12/,1,154.0,154,154
/api/1/mapview/,1,42.0,42,42
/api/1/vmsmessages/8131/image/,26,53.88461538461539,71,71
