url,count,average,90th percentile,80th percentile
/api/1/usernotification/GetNotification/?limit=10&offset=0&is_refresh=false,5286,34.524404086265605,39,39
/api/1/misc/GetData/,2239,57.10093791871371,42,42
/service_check/,116,20.07758620689655,21,21
/,34,121.55882352941177,251,251
/api/1/users/currentuser/,182,84.2032967032967,108,108
/api/1/eventtype/?ordering=name&event_category=planned&fields=name&module=1,18,43.77777777777778,53,53
/api/1/userjurisdictions/get_user_jurisdictions_geojson/,45,41.15555555555556,43,43
/api/1/maplayer/?is_enabled=True&module=1,18,46.833333333333336,58,58
/api/1/event/5297/,1,190.0,190,190
/api/1/waffle/get_flag/,72,75.08333333333333,91,91
/api/1/misc/constants/,63,109.4920634920635,157,157
/api/1/users/userpermissions/,84,150.33333333333334,208,208
/api/1/eventseverity/?ordering=name&fields=name&module=1,18,38.72222222222222,47,47
/api/1/eventtype/?is_visible=true&ordering=name&module=1,1,81.0,81,81
/api/1/eventcause/?ordering=name,3,481.0,628,628
/api/1/eventtype/?ordering=name&event_category=unplanned&fields=name&module=1,18,42.72222222222222,52,52
/api/1/vmstype/?fields=name&module=1,34,40.411764705882355,54,54
/api/1/misc/GetLinkData/,3,845.3333333333334,1677,1677
/incident-management/,17,218.41176470588235,248,248
/api/1/road_closure/GetLinksInBox/?start_longitude=78.4837317466736&start_latitude=17.386738225664338&end_longitude=78.48984181880952&end_latitude=17.383374804673306&zoom_level=18,1,84.0,84,84
/api/1/road_closure/GetLinksInBox/?start_longitude=78.4837156534195&start_latitude=17.386738225664338&end_longitude=78.48986327648164&end_latitude=17.383374804673306&zoom_level=18,2,102.0,117,117
/login/?next=/,32,136.28125,266,266
/UserControls/login_common.less,17,20.11764705882353,21,21
/api/1/permissions/,1,198.0,198,198
/api/1/road_closure/GetLinksData/?id__in=108250,5,89.2,91,91
/api/1/link_restriction/?ordering=modified&limit=10&offset=0&ids=108250,6,84.0,90,90
"/api/1/vmsmessagequeue/?vms__id=156&status__in=queued,posted&ordering=-priority&expiry_datetime__gte=2019-05-17%2012:43:54&",2,27.0,33,33
/api/1/vmsmessagelibrary/,6,31.333333333333332,41,41
/api/1/vmsdevice/156/,6,84.16666666666667,145,145
/api/1/vmsmessages/8131/image/,6,63.333333333333336,83,83
/api/1/vmsmessages/8180/image/,6,65.0,72,72
/api/1/vmsmessages/8133/image/,6,72.83333333333333,113,113
/api/1/vmsmessages/8129/image/,6,65.83333333333333,78,78
/api/1/vmsmessages/?library__id=1&vms_type__id=1&ordering=-id&limit=10&offset=0&,6,237.83333333333334,437,437
/api/1/vmsmessages/8134/image/,6,66.0,74,74
/api/1/vmsmessages/8143/image/,6,70.16666666666667,76,76
/api/1/vmsmessages/8130/image/,6,62.333333333333336,65,65
/api/1/vmsmessages/8159/image/,10,70.3,164,164
/api/1/vmsdevice/156/is_editable/,8,26.875,31,31
/api/1/vmsdevice/156/?fields=name,2,46.5,70,70
"/api/1/vmsmessagequeue/?vms__id=156&status__in=queued,posted&ordering=-priority&expiry_datetime__gte=2019-05-17%2012:43:36&",2,186.0,347,347
/api/1/module-based-filter/?module__name=Traffic&fields=name,18,70.33333333333333,85,85
/link-management/,1,222.0,222,222
/api/1/link_restriction/,1,164.0,164,164
/api/1/misc/constants/?module_id=1,40,111.425,151,151
/api/1/users/currentuser_display_group/,28,36.82142857142857,41,41
/api/1/eventseverity/?ordering=name,1,54.0,54,54
/UserControls/Fonts/cJZKeOuBrn4kERxqtaUH3ZBw1xU1rKptJj_0jans920.woff2,4,27.25,31,31
/api/1/usernotification/GetNotification/?limit=10&offset=0&is_refresh=true,40,51.375,92,92
/api/1/misc/GetUserActions/,8,93.25,169,169
/api/1/vmsmessages/8132/image/,6,63.0,77,77
"/api/1/vmsdevice/156/?fields=vms_type,color_scheme,id,name",4,44.25,68,68
/api/1/vmsmessagequeue/,2,262.0,503,503
/api/1/misc/poi_search/?search_text=,25,31.08,34,34
/api/1/eventcause/?fields=name&module=undefined,16,45.625,60,60
/api/1/module-based-filter/?fields=name&module=1,29,77.06896551724138,95,95
/api/1/eventseverity/?fields=name&module=1,16,41.75,52,52
/api/1/eventtype/?event_category=planned&fields=name&module=1,16,40.875,48,48
/login/?next=/incident-management/,1,23.0,23,23
/login_background_image/?city=hyderabad,17,40.588235294117645,42,42
/api/1/vmstype/?fields=name&module=82,5,43.2,45,45
/api/1/eventseverity/?ordering=name&fields=name&module=82,5,40.4,42,42
/api/1/maplayer/?is_enabled=True&module=82,6,36.5,38,38
/admin/jsi18n/,31,27.258064516129032,29,29
/api/1/event/4576/,1,249.0,249,249
/admin,1,20.0,20,20
/admin/waffle/flag/5/change/,5,381.6,560,560
/favicon.ico/,39,231.43589743589743,241,241
/admin/events/modulebasedfilter/?p=1,4,722.25,1208,1208
/api/1/eventtype/?ordering=name&event_category=unplanned&fields=name&module=96,1,47.0,47,47
/api/1/vmstype/?fields=name&module=96,1,48.0,48,48
/api/1/eventtype/?ordering=name&event_category=unplanned&fields=name&module=82,5,45.0,50,50
/api/1/module-based-filter/?module__name=ActiveTransportation&fields=name,1,63.0,63,63
/admin/,17,621.3529411764706,680,680
/admin/default/cityflag/3/change/,2,208.5,341,341
/api/1/eventtype/?ordering=name&event_category=planned&fields=name&module=82,5,46.8,49,49
/api/1/module-based-filter/?module__name=Transit&fields=name,5,57.8,63,63
/admin/events/eventtype/,2,496.5,503,503
/api/1/misc/FindNearestLocations/,5,832.6,855,855
/api/1/eventseverity/?ordering=name&ordering=-name,2,37.5,42,42
/api/1/misc/get_point_info/?longitude=-79.5465087890625&latitude=43.82263823180498,1,390.0,390,390
/api/1/linkpoint/,1,122.0,122,122
/api/1/event/,1,578.0,578,578
/api/1/eventfile/?event=5&is_image=true,1,47.0,47,47
/api/1/eventtype/?event_category=unplanned&fields=name&module=1,16,46.9375,60,60
/api/1/vmsmessages/8135/image/,6,69.16666666666667,79,79
/api/1/vmscolors/?color_scheme=color24bit,4,35.75,50,50
/admin/default/user/6/change/,2,598.0,1108,1108
/admin/default/user/,2,576.5,683,683
/admin/deviceinfo/htrims/3/change/,4,399.5,727,727
/api/1/misc/get_point_info/?longitude=-80.52266120910646&latitude=43.466936548245535,1,421.0,421,421
/admin/deviceinfo/htrims/,2,516.5,524,524
/api/1/weather/GetWeather/,1,512.0,512,512
/admin/waffle/flag/,4,501.25,549,549
/admin/events/modulebasedfilter/,2,615.5,643,643
/favicon.ico,4,20.25,21,21
